date;hashtag;country;c_tweet
30-11-2020;TousAntiCovid;France;18
29-11-2020;TousAntiCovid;France;60
28-11-2020;TousAntiCovid;France;10
03-12-2020;TousAntiCovid;France;12
02-12-2020;TousAntiCovid;France;15
01-12-2020;TousAntiCovid;France;15
07-12-2020;TousAntiCovid;France;57
06-12-2020;TousAntiCovid;France;129
04-12-2020;TousAntiCovid;France;36
05-12-2020;TousAntiCovid;France;53
09-12-2020;TousAntiCovid;France;31
08-12-2020;TousAntiCovid;France;48
19-11-2020;TousAntiCovid;France;27
21-11-2020;TousAntiCovid;France;78
16-11-2020;TousAntiCovid;France;38
17-11-2020;TousAntiCovid;France;30
18-11-2020;TousAntiCovid;France;28
25-11-2020;TousAntiCovid;France;55
22-11-2020;TousAntiCovid;France;26
27-11-2020;TousAntiCovid;France;27
23-11-2020;TousAntiCovid;France;6
24-11-2020;TousAntiCovid;France;11
