date;hashtag;country;c_tweet
27-11-2020;NHSCOVID19app;Angleterre;74
26-11-2020;NHSCOVID19app;Angleterre;15
29-11-2020;CoronaWarnApp;Allemagne;5
28-11-2020;NHSCOVID19app;Angleterre;29
24-11-2020;NHSCOVID19app;Angleterre;30
25-11-2020;NHSCOVID19app;Angleterre;10
28-11-2020;CoronaWarnApp;Allemagne;7
23-11-2020;NHSCOVID19app;Angleterre;35
26-11-2020;CoronaWarnApp;Allemagne;1
21-11-2020;NHSCOVID19app;Angleterre;32
07-12-2020;CoronaWarnApp;Allemagne;9
22-11-2020;NHSCOVID19app;Angleterre;30
08-12-2020;CoronaWarnApp;Allemagne;1
20-11-2020;NHSCOVID19app;Angleterre;37
06-12-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;103
19-11-2020;NHSCOVID19app;Angleterre;61
05-12-2020;CoronaWarnApp;Allemagne;9
17-11-2020;NHSCOVID19app;Angleterre;40
02-12-2020;CoronaWarnApp;Allemagne;3
03-12-2020;CoronaWarnApp;Allemagne;2
09-12-2020;NHSCOVID19app;Angleterre;18
05-12-2020;NHSCOVID19app;Angleterre;49
06-12-2020;NHSCOVID19app;Angleterre;26
07-12-2020;NHSCOVID19app;Angleterre;29
08-12-2020;NHSCOVID19app;Angleterre;18
09-12-2020;CoronaWarnApp;Allemagne;1
02-12-2020;NHSCOVID19app;Angleterre;50
03-12-2020;NHSCOVID19app;Angleterre;41
04-12-2020;NHSCOVID19app;Angleterre;30
29-11-2020;NHSCOVID19app;Angleterre;20
30-11-2020;NHSCOVID19app;Angleterre;33
01-12-2020;NHSCOVID19app;Angleterre;42
16-11-2020;NHSCOVID19app;Angleterre;52
08-11-2020;CoronaWarnApp;Allemagne;6
07-11-2020;CoronaWarnApp;Allemagne;1
09-11-2020;CoronaWarnApp;Allemagne;5
10-11-2020;CoronaWarnApp;Allemagne;1
11-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;4
12-11-2020;CoronaWarnApp;Allemagne;1
20-11-2020;CoronaWarnApp;Allemagne;1
24-11-2020;CoronaWarnApp;Allemagne;6
25-11-2020;CoronaWarnApp;Allemagne;4
14-11-2020;CoronaWarnApp;Allemagne;1
15-11-2020;CoronaWarnApp;Allemagne;4
16-11-2020;CoronaWarnApp;Allemagne;2
17-11-2020;CoronaWarnApp;Allemagne;1
