date;hashtag;country;c_negatives
30-11-2020;TousAntiCovid;France;12
29-11-2020;TousAntiCovid;France;57
28-11-2020;TousAntiCovid;France;5
03-12-2020;TousAntiCovid;France;7
01-12-2020;TousAntiCovid;France;10
02-12-2020;TousAntiCovid;France;9
07-12-2020;TousAntiCovid;France;48
06-12-2020;TousAntiCovid;France;88
04-12-2020;TousAntiCovid;France;32
05-12-2020;TousAntiCovid;France;16
09-12-2020;TousAntiCovid;France;7
08-12-2020;TousAntiCovid;France;31
19-11-2020;TousAntiCovid;France;19
21-11-2020;TousAntiCovid;France;57
16-11-2020;TousAntiCovid;France;30
17-11-2020;TousAntiCovid;France;24
18-11-2020;TousAntiCovid;France;24
25-11-2020;TousAntiCovid;France;46
22-11-2020;TousAntiCovid;France;8
27-11-2020;TousAntiCovid;France;15
23-11-2020;TousAntiCovid;France;3
24-11-2020;TousAntiCovid;France;4
