date;hashtag;country;c_positives
27-11-2020;NHSCOVID19app;Angleterre;66
26-11-2020;NHSCOVID19app;Angleterre;12
29-11-2020;CoronaWarnApp;Allemagne;2
28-11-2020;NHSCOVID19app;Angleterre;19
24-11-2020;NHSCOVID19app;Angleterre;24
25-11-2020;NHSCOVID19app;Angleterre;9
28-11-2020;CoronaWarnApp;Allemagne;7
23-11-2020;NHSCOVID19app;Angleterre;28
26-11-2020;CoronaWarnApp;Allemagne;1
21-11-2020;NHSCOVID19app;Angleterre;19
07-12-2020;CoronaWarnApp;Allemagne;8
22-11-2020;NHSCOVID19app;Angleterre;22
20-11-2020;NHSCOVID19app;Angleterre;16
18-11-2020;NHSCOVID19app;Angleterre;64
19-11-2020;NHSCOVID19app;Angleterre;45
05-12-2020;CoronaWarnApp;Allemagne;9
17-11-2020;NHSCOVID19app;Angleterre;15
02-12-2020;CoronaWarnApp;Allemagne;1
09-12-2020;NHSCOVID19app;Angleterre;13
05-12-2020;NHSCOVID19app;Angleterre;40
06-12-2020;NHSCOVID19app;Angleterre;16
07-12-2020;NHSCOVID19app;Angleterre;24
08-12-2020;NHSCOVID19app;Angleterre;13
09-12-2020;CoronaWarnApp;Allemagne;1
03-12-2020;NHSCOVID19app;Angleterre;33
02-12-2020;NHSCOVID19app;Angleterre;34
04-12-2020;NHSCOVID19app;Angleterre;24
29-11-2020;NHSCOVID19app;Angleterre;16
30-11-2020;NHSCOVID19app;Angleterre;24
01-12-2020;NHSCOVID19app;Angleterre;29
16-11-2020;NHSCOVID19app;Angleterre;36
08-11-2020;CoronaWarnApp;Allemagne;6
07-11-2020;CoronaWarnApp;Allemagne;1
09-11-2020;CoronaWarnApp;Allemagne;4
10-11-2020;CoronaWarnApp;Allemagne;1
11-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;1
24-11-2020;CoronaWarnApp;Allemagne;4
25-11-2020;CoronaWarnApp;Allemagne;4
14-11-2020;CoronaWarnApp;Allemagne;1
16-11-2020;CoronaWarnApp;Allemagne;1
15-11-2020;CoronaWarnApp;Allemagne;1
