date;hashtag;country;no_users
07-11-2020;CoronaWarnApp;Allemagne;1
08-11-2020;CoronaWarnApp;Allemagne;6
09-11-2020;CoronaWarnApp;Allemagne;39
10-11-2020;CoronaWarnApp;Allemagne;8
11-11-2020;CoronaWarnApp;Allemagne;5
12-11-2020;CoronaWarnApp;Allemagne;1
13-11-2020;CoronaWarnApp;Allemagne;7
14-11-2020;CoronaWarnApp;Allemagne;6
15-11-2020;CoronaWarnApp;Allemagne;5
16-11-2020;CoronaWarnApp;Allemagne;3
16-11-2020;NHSCOVID19app;Angleterre;67
16-11-2020;TousAntiCovid;France;86
17-11-2020;CoronaWarnApp;Allemagne;2
17-11-2020;NHSCOVID19app;Angleterre;45
17-11-2020;TousAntiCovid;France;62
18-11-2020;CoronaWarnApp;Allemagne;1
18-11-2020;NHSCOVID19app;Angleterre;88
18-11-2020;TousAntiCovid;France;72
19-11-2020;CoronaWarnApp;Allemagne;27
19-11-2020;NHSCOVID19app;Angleterre;62
19-11-2020;TousAntiCovid;France;72
20-11-2020;CoronaWarnApp;Allemagne;1
20-11-2020;NHSCOVID19app;Angleterre;38
21-11-2020;CoronaWarnApp;Allemagne;7
21-11-2020;NHSCOVID19app;Angleterre;28
21-11-2020;TousAntiCovid;France;91
22-11-2020;NHSCOVID19app;Angleterre;36
22-11-2020;TousAntiCovid;France;73
23-11-2020;CoronaWarnApp;Allemagne;1
23-11-2020;NHSCOVID19app;Angleterre;48
23-11-2020;TousAntiCovid;France;59
24-11-2020;CoronaWarnApp;Allemagne;7
24-11-2020;NHSCOVID19app;Angleterre;35
24-11-2020;TousAntiCovid;France;79
25-11-2020;CoronaWarnApp;Allemagne;6
25-11-2020;NHSCOVID19app;Angleterre;14
25-11-2020;TousAntiCovid;France;72
26-11-2020;CoronaWarnApp;Allemagne;30
26-11-2020;NHSCOVID19app;Angleterre;15
27-11-2020;CoronaWarnApp;Allemagne;3
27-11-2020;NHSCOVID19app;Angleterre;62
27-11-2020;TousAntiCovid;France;71
28-11-2020;CoronaWarnApp;Allemagne;11
28-11-2020;NHSCOVID19app;Angleterre;28
28-11-2020;TousAntiCovid;France;84
29-11-2020;CoronaWarnApp;Allemagne;5
29-11-2020;NHSCOVID19app;Angleterre;13
29-11-2020;TousAntiCovid;France;94
30-11-2020;CoronaWarnApp;Allemagne;1
30-11-2020;NHSCOVID19app;Angleterre;32
30-11-2020;TousAntiCovid;France;75
01-12-2020;CoronaWarnApp;Allemagne;1
01-12-2020;NHSCOVID19app;Angleterre;48
01-12-2020;TousAntiCovid;France;64
02-12-2020;CoronaWarnApp;Allemagne;11
02-12-2020;NHSCOVID19app;Angleterre;59
02-12-2020;TousAntiCovid;France;84
03-12-2020;CoronaWarnApp;Allemagne;6
03-12-2020;NHSCOVID19app;Angleterre;39
03-12-2020;TousAntiCovid;France;92
04-12-2020;CoronaWarnApp;Allemagne;1
04-12-2020;NHSCOVID19app;Angleterre;28
04-12-2020;TousAntiCovid;France;61
05-12-2020;CoronaWarnApp;Allemagne;10
05-12-2020;NHSCOVID19app;Angleterre;53
05-12-2020;TousAntiCovid;France;71
06-12-2020;CoronaWarnApp;Allemagne;2
06-12-2020;NHSCOVID19app;Angleterre;18
06-12-2020;TousAntiCovid;France;197
