date;hashtag;country;s_negativos
28-11-2020;TousAntiCovid;France;-14
01-12-2020;TousAntiCovid;France;-20
29-11-2020;TousAntiCovid;France;-117
16-11-2020;TousAntiCovid;France;-41
25-11-2020;TousAntiCovid;France;-93
17-11-2020;TousAntiCovid;France;-60
19-11-2020;TousAntiCovid;France;-48
24-11-2020;TousAntiCovid;France;-8
04-12-2020;TousAntiCovid;France;-75
05-12-2020;TousAntiCovid;France;-34
18-11-2020;TousAntiCovid;France;-47
06-12-2020;TousAntiCovid;France;-173
23-11-2020;TousAntiCovid;France;-6
03-12-2020;TousAntiCovid;France;-16
30-11-2020;TousAntiCovid;France;-25
02-12-2020;TousAntiCovid;France;-24
07-12-2020;TousAntiCovid;France;-53
21-11-2020;TousAntiCovid;France;-67
22-11-2020;TousAntiCovid;France;-12
27-11-2020;TousAntiCovid;France;-30
