date;hashtag;country;s_negativos
05-12-2020;NHSCOVID19app;Angleterre;-27
24-11-2020;NHSCOVID19app;Angleterre;-14
24-11-2020;CoronaWarnApp;Allemagne;-5
30-11-2020;NHSCOVID19app;Angleterre;-20
18-11-2020;NHSCOVID19app;Angleterre;-142
22-11-2020;NHSCOVID19app;Angleterre;-16
26-11-2020;CoronaWarnApp;Allemagne;-3
07-12-2020;NHSCOVID19app;Angleterre;-11
26-11-2020;NHSCOVID19app;Angleterre;-13
01-12-2020;NHSCOVID19app;Angleterre;-47
09-11-2020;CoronaWarnApp;Allemagne;-1
29-11-2020;NHSCOVID19app;Angleterre;-14
13-11-2020;CoronaWarnApp;Allemagne;-17
03-12-2020;NHSCOVID19app;Angleterre;-20
02-12-2020;CoronaWarnApp;Allemagne;-14
07-12-2020;CoronaWarnApp;Allemagne;-9
16-11-2020;NHSCOVID19app;Angleterre;-38
15-11-2020;CoronaWarnApp;Allemagne;-9
19-11-2020;NHSCOVID19app;Angleterre;-71
06-12-2020;NHSCOVID19app;Angleterre;-19
25-11-2020;NHSCOVID19app;Angleterre;-6
12-11-2020;CoronaWarnApp;Allemagne;-6
06-12-2020;CoronaWarnApp;Allemagne;-2
17-11-2020;CoronaWarnApp;Allemagne;-1
27-11-2020;NHSCOVID19app;Angleterre;-27
21-11-2020;NHSCOVID19app;Angleterre;-51
20-11-2020;NHSCOVID19app;Angleterre;-49
14-11-2020;CoronaWarnApp;Allemagne;-2
20-11-2020;CoronaWarnApp;Allemagne;-3
29-11-2020;CoronaWarnApp;Allemagne;-6
02-12-2020;NHSCOVID19app;Angleterre;-42
28-11-2020;NHSCOVID19app;Angleterre;-27
16-11-2020;CoronaWarnApp;Allemagne;-2
17-11-2020;NHSCOVID19app;Angleterre;-66
03-12-2020;CoronaWarnApp;Allemagne;-10
23-11-2020;NHSCOVID19app;Angleterre;-19
04-12-2020;NHSCOVID19app;Angleterre;-17
