date;hashtag;country;s_positivos
28-11-2020;TousAntiCovid;France;10
01-12-2020;TousAntiCovid;France;11
29-11-2020;TousAntiCovid;France;7
16-11-2020;TousAntiCovid;France;15
25-11-2020;TousAntiCovid;France;18
17-11-2020;TousAntiCovid;France;8
19-11-2020;TousAntiCovid;France;30
24-11-2020;TousAntiCovid;France;16
04-12-2020;TousAntiCovid;France;15
05-12-2020;TousAntiCovid;France;113
18-11-2020;TousAntiCovid;France;10
06-12-2020;TousAntiCovid;France;87
23-11-2020;TousAntiCovid;France;9
30-11-2020;TousAntiCovid;France;21
03-12-2020;TousAntiCovid;France;15
02-12-2020;TousAntiCovid;France;20
21-11-2020;TousAntiCovid;France;42
22-11-2020;TousAntiCovid;France;42
27-11-2020;TousAntiCovid;France;25
